0610010F05Rik	KIAA1841
Cops4	COPS4
Cops5	COPS5
Cops6	COPS6
Cops7a	COPS7A
Cops7b	COPS7B
Cops8	COPS8
Cops9	COPS9
Copz1	COPZ1
Copz2	COPZ2
Coq10a	COQ10A
Coq10b	COQ10B
Coq2	COQ2
Coq3	COQ3
Coq4	COQ4
Coq5	COQ5
Coq6	COQ6
Coq7	COQ7
Coq8a	COQ8A
Coq8b	COQ8B
Coq9	COQ9
Corin	CORIN
Coro1a	CORO1A
Coro1b	CORO1B
Coro1c	CORO1C
Coro2a	CORO2A
Coro2b	CORO2B
Coro6	CORO6
Coro7	CORO7-PAM16
Coro7	CORO7
Cort	CORT
Cotl1	COTL1
Cox10	COX10
Cox11	COX11
Cox14	COX14
Cox16	COX16
Cox17	COX17
Cox18	COX18
Cox19	COX19
Cox20	COX20
Cox4i1	COX4I1
Cox4i2	COX4I2
Cox5a	COX5A
Cox5b	COX5B
Cox6a1	COX6A1
Cox6a2	COX6A2
Cox6b1	COX6B1
Cox6b2	COX6B2
Cox6c	COX6C
Cox7a1	COX7A1
Cox7a2	COX7A2
Cox7a2l	COX7A2L
Cox7b	COX7B
Cox7b2	COX7B2
Cox7c	COX7C
Cox8a	COX8A
Cox8b	COX8C
Cp	CP
Cpa1	CPA1
Cpa2	CPA2
Cpa3	CPA3
Cpa4	CPA4
Cpa5	CPA5
Cpa6	CPA6
Cpb1	CPB1
Cpb2	CPB2
Cpd	CPD
Cpe	CPE
Cpeb1	CPEB1
Cpeb2	CPEB2
Cpeb3	CPEB3
Cpeb4	CPEB4
Cped1	CPED1
Cphx1	CPHXL
Cphx2	CPHXL
Cphx3	CPHXL
Cplane1	CPLANE1
Cplane2	CPLANE2
Cplx1	CPLX1
Cplx2	CPLX2
Cplx3	CPLX3
Cplx4	CPLX4
Cpm	CPM
Cpn1	CPN1
Cpn2	CPN2
Cpne1	CPNE1
Cpne2	CPNE2
Cpne3	CPNE3
Cpne4	CPNE4
Cpne5	CPNE5
Cpne6	CPNE6
Cpne7	CPNE7
Cpne8	CPNE8
Cpne9	CPNE9
Cpox	CPOX
Cpped1	CPPED1
Cpq	CPQ
Cps1	CPS1
Cpsf1	CPSF1
Cpsf2	CPSF2
Cpsf3	CPSF3
Cpsf4	CPSF4
Cpsf4l	CPSF4L
Cpsf6	CPSF6
Cpsf7	CPSF7
Cpt1a	CPT1A
Cpt1b	CPT1B
Cpt1c	CPT1C
Cpt2	CPT2
Cptp	CPTP
Cpvl	CPVL
Cpxcr1	CPXCR1
Cpxm1	CPXM1
Cpxm2	CPXM2
Cpz	CPZ
Cr1l	CR1
Cr2	CR2
Crabp1	CRABP1
Crabp2	CRABP2
Cracr2a	CRACR2A
Cracr2b	CRACR2B
Cradd	CRADD
Cramp1l	CRAMP1
Crat	CRAT
Crb1	CRB1
Crb2	CRB2
Crb3	CRB3
Crbn	CRBN
Crcp	CRCP
Creb1	CREB1
Creb3	CREB3
Creb3l1	CREB3L1
Creb3l2	CREB3L2
Creb3l3	CREB3L3
Creb3l4	CREB3L4
Creb5	CREB5
Crebbp	CREBBP
Crebl2	CREBL2
Crebrf	CREBRF
Crebzf	CREBZF
Creg1	CREG1
Creg2	CREG2
Creld1	CRELD1
Creld2	CRELD2
Crem	CREM
Crh	CRH
Crhbp	CRHBP
Crhr1	CRHR1
Crhr1	LINC02210-CRHR1
Crhr2	CRHR2
Crim1	CRIM1
Crip1	CRIP1
Crip2	CRIP2
Crip3	CRIP3
Cript	CRIPT
Crisp1	CRISP3
Crisp2	CRISP2
Crisp3	CRISP3
Crisp4	CRISP1
Crispld1	CRISPLD1
Crispld2	CRISPLD2
Crk	CRK
Crkl	CRKL
Crlf1	CRLF1
Crlf2	CRLF2
Crlf3	CRLF3
Crls1	CRLS1
Crmp1	CRMP1
Crnkl1	CRNKL1
Crnn	CRNN
Crocc	CROCC
Crocc2	CROCC2
Crot	CROT
Crp	CRP
Crppa	CRPPA
Crtac1	CRTAC1
Crtam	CRTAM
Crtap	CRTAP
Crtc1	CRTC1
Crtc2	CRTC2
Crtc3	CRTC3
Crx	CRX
Cry1	CRY1
Cry2	CRY2
Cryaa	CRYAA
Cryaa	CRYAA2
Cryab	CRYAB
Cryba1	CRYBA1
Cryba2	CRYBA2
Cryba4	CRYBA4
Crybb1	CRYBB1
Crybb2	CRYBB2
Crybb3	CRYBB3
Crybg1	CRYBG1
Crybg2	CRYBG2
Crybg3	CRYBG3
Cryga	CRYGA
Crygb	CRYGB
Crygc	CRYGC
Crygn	CRYGN
Crygs	CRYGS
Cryl1	CRYL1
Crym	CRYM
Cryz	CRYZ
Cryzl1	CRYZL1
Cs	CS
Csad	CSAD
Csdc2	CSDC2
Csde1	CSDE1
Cse1l	CSE1L
Csf1	CSF1
Csf1r	CSF1R
Csf2	CSF2
Csf2ra	CSF2RA
Csf2rb	CSF2RB
Csf2rb2	CSF2RB
Csf3	CSF3
Csf3r	CSF3R
Csgalnact1	CSGALNACT1
Csgalnact2	CSGALNACT2
Csk	CSK
Csl	CS
Csmd1	CSMD1
Csmd2	CSMD2
Csmd3	CSMD3
Csn1s1	CSN1S1
Csn2	CSN2
Csn3	CSN3
Csnk1a1	CSNK1A1
Csnk1d	CSNK1D
Csnk1e	CSNK1E
Csnk1e	TPTEP2-CSNK1E
Csnk1g1	CSNK1G1
Csnk1g2	CSNK1G2
Csnk1g3	CSNK1G3
Csnk2a1	CSNK2A1
Csnk2a1	CSNK2A3
Csnk2a2	CSNK2A2
Csnk2b	CSNK2B
Csnka2ip	CSNKA2IP
Cspg4	CSPG4
Cspg5	CSPG5
Cspp1	CSPP1
Csrnp1	CSRNP1
Csrnp2	CSRNP2
Csrnp3	CSRNP3
Csrp1	CSRP1
Csrp2	CSRP2
Csrp3	CSRP3
Cst11	CST11
Cst3	CST3
Cst6	CST6
Cst7	CST7
Cst8	CST8
Cst9	CST9L
Csta1	CSTA
Csta2	CSTA
Csta3	CSTA
Cstb	CSTB
Cstdc2	CST9L
Cstdc4	CSTA
Cstdc5	CSTA
Cstdc6	CSTA
Cstf1	CSTF1
Cstf2	CSTF2
Cstf2t	CSTF2T
Cstf3	CSTF3
Cstl1	CSTL1
Ctag2	CTAG2
Ctag2	CTAG1B
Ctag2	CTAG1A
Ctag2l1	CTAG2
Ctag2l1	CTAG1B
Ctag2l1	CTAG1A
Ctag2l2	CTAG2
Ctag2l2	CTAG1B
Ctag2l2	CTAG1A
Ctbp1	CTBP1
Ctbp2	CTBP2
Ctbs	CTBS
Ctc1	CTC1
Ctcf	CTCF
Ctcfl	CTCFL
Ctdnep1	CTDNEP1
Ctdp1	CTDP1
Ctdsp1	CTDSP1
Ctdsp2	CTDSP2
Ctdspl	CTDSPL
Ctdspl2	CTDSPL2
Ctf1	CTF1
Cth	CTH
Cthrc1	CTHRC1
Ctif	CTIF
Ctla4	CTLA4
Ctnna1	CTNNA1
Ctnna2	CTNNA2
Ctnna3	CTNNA3
Ctnnal1	CTNNAL1
Ctnnb1	CTNNB1
Ctnnbip1	CTNNBIP1
Ctnnbl1	CTNNBL1
Ctnnd1	CTNND1
Ctnnd2	CTNND2
Ctns	CTNS
Ctps	CTPS1
Ctps2	CTPS2
Ctr9	CTR9
Ctrb1	CTRB1
Ctrb1	CTRB2
Ctrc	CTRC
Ctrl	CTRL
Ctsa	CTSA
Ctsb	CTSB
Ctsc	CTSC
Ctsd	CTSD
Ctse	CTSE
Ctsf	CTSF
Ctsg	CTSG
Ctsh	CTSH
Ctsk	CTSK
Ctso	CTSO
Ctss	CTSS
Ctsw	CTSW
Ctsz	CTSZ
Cttn	CTTN
Cttnbp2	CTTNBP2
Cttnbp2nl	CTTNBP2NL
Ctu1	CTU1
Ctu2	CTU2
Ctxn1	CTXN1
Ctxn2	CTXN2
Ctxn3	CTXN3
Cubn	CUBN
Cuedc1	CUEDC1
Cuedc2	CUEDC2
Cul1	CUL1
Cul2	CUL2
Cul3	CUL3
Cul4a	CUL4A
Cul4b	CUL4B
Cul5	CUL5
Cul7	CUL7
Cul9	CUL9
Cuta	CUTA
Cutc	CUTC
Cux1	CUX1
Cux2	CUX2
Cuzd1	CUZD1
Cwc15	CWC15
Cwc22	CWC22
Cwc25	CWC25
Cwc27	CWC27
Cwf19l1	CWF19L1
Cwf19l2	CWF19L2
Cwh43	CWH43
Cx3cl1	CX3CL1
Cx3cr1	CX3CR1
Cxadr	CXADR
Cxcl10	CXCL10
Cxcl11	CXCL11
Cxcl12	CXCL12
Cxcl13	CXCL13
Cxcl14	CXCL14
Cxcl16	CXCL16
Cxcl17	CXCL17
Cxcl5	CXCL6
Cxcl9	CXCL9
Cxcr1	CXCR1
Cxcr2	CXCR2
Cxcr3	CXCR3
Cxcr4	CXCR4
Cxcr5	CXCR5
Cxcr6	CXCR6
Cxxc1	CXXC1
Cxxc4	CXXC4
Cxxc5	CXXC5
Cyb561	CYB561
Cyb561a3	CYB561A3
Cyb561d1	CYB561D1
Cyb561d2	CYB561D2
Cyb5a	CYB5A
Cyb5b	CYB5B
Cyb5d1	CYB5D1
Cyb5d2	CYB5D2
Cyb5r1	CYB5R1
Cyb5r2	CYB5R2
Cyb5r3	CYB5R3
Cyb5r4	CYB5R4
Cyb5rl	CYB5RL
Cyba	CYBA
Cybb	CYBB
Cybc1	CYBC1
Cybrd1	CYBRD1
Cyc1	CYC1
Cycs	CYCS
Cyfip1	CYFIP1
Cyfip2	CYFIP2
Cygb	CYGB
Cyhr1	CYHR1
Cylc1	CYLC1
Cylc2	CYLC2
Cyld	CYLD
Cyp11a1	CYP11A1
Cyp17a1	CYP17A1
Cyp19a1	CYP19A1
Cyp1a1	CYP1A1
Cyp1a2	CYP1A2
Cyp1b1	CYP1B1
Cyp20a1	CYP20A1
Cyp21a1	CYP21A2
Cyp24a1	CYP24A1
Cyp26a1	CYP26A1
Cyp26b1	CYP26B1
Cyp26c1	CYP26C1
Cyp27a1	CYP27A1
Cyp27b1	CYP27B1
Cyp2a12	CYP2A13
Cyp2a12	CYP2A7
Cyp2a12	CYP2A6
Cyp2a22	CYP2A13
Cyp2a22	CYP2A7
Cyp2a22	CYP2A6
Cyp2a4	CYP2A13
Cyp2a4	CYP2A7
Cyp2a4	CYP2A6
Cyp2a5	CYP2A13
Cyp2a5	CYP2A7
Cyp2a5	CYP2A6
Cyp2d10	CYP2D6
Cyp2d10	CYP2D7
Cyp2d11	CYP2D6
Cyp2d11	CYP2D7
Cyp2d12	CYP2D6
Cyp2d12	CYP2D7
Cyp2d22	CYP2D6
Cyp2d22	CYP2D7
Cyp2d26	CYP2D6
Cyp2d26	CYP2D7
Cyp2d34	CYP2D6
Cyp2d34	CYP2D7
Cyp2d40	CYP2D6
Cyp2d40	CYP2D7
Cyp2d9	CYP2D6
Cyp2d9	CYP2D7
Cyp2e1	CYP2E1
Cyp2f2	CYP2F1
Cyp2j13	CYP2J2
Cyp2j9	CYP2J2
Cyp2r1	CYP2R1
Cyp2s1	CYP2S1
Cyp2u1	CYP2U1
Cyp2w1	CYP2W1
Cyp39a1	CYP39A1
Cyp3a11	CYP3A43
Cyp3a11	CYP3A5
Cyp3a11	CYP3A4
Cyp3a11	CYP3A7
Cyp3a11	CYP3A7-CYP3A51P
Cyp3a13	CYP3A43
Cyp3a13	CYP3A5
Cyp3a13	CYP3A4
Cyp3a13	CYP3A7
Cyp3a13	CYP3A7-CYP3A51P
Cyp3a16	CYP3A43
Cyp3a16	CYP3A5
Cyp3a16	CYP3A4
Cyp3a16	CYP3A7
Cyp3a16	CYP3A7-CYP3A51P
Cyp3a25	CYP3A43
Cyp3a25	CYP3A5
Cyp3a25	CYP3A4
Cyp3a25	CYP3A7
Cyp3a25	CYP3A7-CYP3A51P
Cyp3a41a	CYP3A43
Cyp3a41a	CYP3A5
Cyp3a41a	CYP3A4
Cyp3a41a	CYP3A7
Cyp3a41a	CYP3A7-CYP3A51P
Cyp3a41b	CYP3A43
Cyp3a41b	CYP3A5
Cyp3a41b	CYP3A4
Cyp3a41b	CYP3A7
Cyp3a41b	CYP3A7-CYP3A51P
Cyp3a44	CYP3A43
Cyp3a44	CYP3A5
Cyp3a44	CYP3A4
Cyp3a44	CYP3A7
Cyp3a44	CYP3A7-CYP3A51P
Cyp3a57	CYP3A43
Cyp3a57	CYP3A5
Cyp3a57	CYP3A4
Cyp3a57	CYP3A7
Cyp3a57	CYP3A7-CYP3A51P
Cyp3a59	CYP3A43
Cyp3a59	CYP3A5
Cyp3a59	CYP3A4
Cyp3a59	CYP3A7
Cyp3a59	CYP3A7-CYP3A51P
Cyp46a1	CYP46A1
Cyp4a10	CYP4A22
Cyp4a10	CYP4F11
Cyp4a10	CYP4F12
Cyp4a10	CYP4A11
Cyp4a30b	CYP4A22
Cyp4a30b	CYP4F11
Cyp4a30b	CYP4F12
Cyp4a30b	CYP4A11
Cyp4a31	CYP4A22
Cyp4a31	CYP4F11
Cyp4a31	CYP4F12
Cyp4a31	CYP4A11
Cyp4a32	CYP4A22
Cyp4a32	CYP4F11
Cyp4a32	CYP4F12
Cyp4a32	CYP4A11
Cyp4b1	CYP4B1
Cyp4f13	CYP4F8
Cyp4f14	CYP4F2
Cyp4f15	CYP4F2
Cyp4f16	CYP4F8
Cyp4f17	CYP4F8
Cyp4f18	CYP4F3
Cyp4f37	CYP4F8
Cyp4f39	CYP4F22
Cyp4f40	CYP4F2
Cyp4v3	CYP4V2
Cyp4x1	CYP4X1
Cyp51	CYP51A1
Cyp7a1	CYP7A1
Cyp7b1	CYP7B1
Cyp8b1	CYP8B1
Cyren	CYREN
Cys1	CYS1
Cysltr1	CYSLTR1
Cysrt1	CYSRT1
Cystm1	CYSTM1
Cyth1	CYTH1
Cyth2	CYTH2
Cyth3	CYTH3
Cyth4	CYTH4
Cytip	CYTIP
Cytl1	CYTL1
Cyyr1	CYYR1
Czib	CZIB
D030056L22Rik	C9orf40
D10Wsu102e	C12orf45
D11Wsu47e	C17orf80
D130043K22Rik	KIAA0319
D16Ertd472e	C21orf91
D17H6S53E	C6orf47
D1Ertd622e	C5orf30
D1Pas1	DDX3X
D230025D16Rik	C16orf70
D2hgdh	D2HGDH
D3Ertd751e	C4orf33
D430019H16Rik	C14orf132
D430041D05Rik	KIAA1549L
D430042O09Rik	KIAA0556
D5Ertd577e	PRAMEF1
D5Ertd577e	PRAMEF12
D5Ertd577e	PRAMEF2
D5Ertd577e	PRAMEF8
D5Ertd577e	PRAMEF10
D5Ertd577e	PRAMEF20
D5Ertd577e	PRAMEF17
D5Ertd577e	PRAMEF19
D5Ertd577e	PRAMEF14
D5Ertd577e	PRAMEF15
D5Ertd577e	PRAMEF9
D5Ertd577e	PRAMEF7
D5Ertd577e	PRAMEF25
D5Ertd577e	PRAMEF6
D5Ertd577e	PRAMEF33
D5Ertd577e	PRAMEF11
D5Ertd577e	PRAMEF4
D5Ertd577e	PRAMEF5
D5Ertd577e	PRAMEF27
D5Ertd577e	PRAMEF13
D5Ertd577e	PRAMEF18
D5Ertd577e	PRAMEF26
D5Ertd579e	KIAA0232
D630003M21Rik	KIAA1755
D630023F18Rik	C2orf80
D630039A03Rik	C9orf152
D6Wsu163e	C12orf4
D7Ertd443e	C10orf90
D8Ertd738e	C19orf53
D930020B18Rik	C12orf56
Daam1	DAAM1
Daam2	DAAM2
Dab1	DAB1
Dab2	DAB2
Dab2ip	DAB2IP
Dach1	DACH1
Dach2	DACH2
Dact1	DACT1
Dact2	DACT2
Dact3	DACT3
Dad1	DAD1
Dag1	DAG1
Dagla	DAGLA
Daglb	DAGLB
Dalrd3	DALRD3
Dand5	DAND5
Dao	DAO
Dap3	DAP3
Dapk1	DAPK1
Dapk2	DAPK2
Dapk3	DAPK3
Dapl1	DAPL1
Dapp1	DAPP1
Dars	DARS1
Dars2	DARS2
Daxx	DAXX
Dazap1	DAZAP1
Dazap2	DAZAP2
Dazl	DAZL
Dbf4	DBF4
Dbh	DBH
Dbi	DBI
Dbn1	DBN1
Dbndd1	DBNDD1
Dbndd2	DBNDD2
Dbnl	DBNL
Dbp	DBP
Dbr1	DBR1
Dbt	DBT
Dbx1	DBX1
Dbx2	DBX2
Dcaf1	DCAF1
Dcaf10	DCAF10
Dcaf11	DCAF11
Dcaf12	DCAF12
Dcaf12l1	DCAF12L2
Dcaf12l2	DCAF12L2
Dcaf13	DCAF13
Dcaf15	DCAF15
Dcaf17	DCAF17
Dcaf4	DCAF4
Dcaf4	DCAF4L2
Dcaf5	DCAF5
Dcaf6	DCAF6
Dcaf7	DCAF7
Dcaf8	DCAF8
Dcaf8l	DCAF8L2
Dcaf8l	DCAF8L1
Dcakd	DCAKD
Dcbld1	DCBLD1
Dcbld2	DCBLD2
Dcc	DCC
Dcdc2a	DCDC2
Dcdc2b	DCDC2B
Dcdc2c	DCDC2C
Dchs1	DCHS1
Dchs2	DCHS2
Dck	DCK
Dclk1	DCLK1
Dclk2	DCLK2
Dclk3	DCLK3
Dclre1a	DCLRE1A
Dclre1b	DCLRE1B
Dclre1c	DCLRE1C
Dcn	DCN
Dcp1a	DCP1A
Dcp1b	DCP1B
Dcp2	DCP2
Dcps	DCPS
Dcst1	DCST1
Dcst2	DCST2
Dcstamp	DCSTAMP
Dct	DCT
Dctd	DCTD
Dctn1	DCTN1
Dctn2	DCTN2
Dctn3	DCTN3
Dctn4	DCTN4
Dctn5	DCTN5
Dctn6	DCTN6
Dctpp1	DCTPP1
Dcun1d1	DCUN1D1
Dcun1d2	DCUN1D2
Dcun1d3	DCUN1D3
Dcun1d4	DCUN1D4
Dcun1d5	DCUN1D5
Dcx	DCX
Dcxr	DCXR
Dda1	DDA1
Ddah1	DDAH1
Ddah2	DDAH2
Ddb1	DDB1
Ddb2	DDB2
Ddc	DDC
Ddhd1	DDHD1
Ddhd2	DDHD2
Ddi1	DDI1
Ddi2	RSC1A1
Ddias	DDIAS
Ddit3	DDIT3
Ddit4	DDIT4
Ddit4l	DDIT4L
Ddn	DDN
Ddo	DDO
Ddost	DDOST
Ddr1	DDR1
Ddr2	DDR2
Ddrgk1	DDRGK1
Ddt	DDT
Ddx1	DDX1
Ddx10	DDX10
Ddx11	DDX11
Ddx17	DDX17
Ddx18	DDX18
Ddx19a	DDX19B
Ddx19a	DDX19A
Ddx19b	DDX19B
Ddx19b	DDX19A
Ddx20	DDX20
Ddx21	DDX21
Ddx23	DDX23
Ddx24	DDX24
Ddx25	DDX25
Ddx27	DDX27
Ddx28	DDX28
Ddx31	DDX31
Ddx39	DDX39A
Ddx39b	DDX39B
Ddx3x	DDX3X
Ddx3y	DDX3Y
Ddx4	DDX4
Ddx41	DDX41
Ddx42	DDX42
Ddx46	DDX46
Ddx47	DDX47
Ddx49	DDX49
Ddx5	DDX5
Ddx50	DDX50
Ddx51	DDX51
Ddx52	DDX52
Ddx54	DDX54
Ddx55	DDX55
Ddx56	DDX56
Ddx58	DDX58
Ddx59	DDX59
Ddx6	DDX6
Ddx60	DDX60
Deaf1	DEAF1
Decr1	DECR1
Decr2	DECR2
Dedd	DEDD
Dedd2	DEDD2
Def6	DEF6
Def8	DEF8
Defa17	DEFA5
Defa17	DEFA4
Defa17	DEFA6
Defa17	DEFA1
Defa17	DEFA3
Defa17	DEFA1B
Defa2	DEFA5
Defa2	DEFA4
Defa2	DEFA6
Defa2	DEFA1
Defa2	DEFA3
Defa2	DEFA1B
Defa20	DEFA5
Defa20	DEFA4
Defa20	DEFA6
Defa20	DEFA1
Defa20	DEFA3
Defa20	DEFA1B
Defa21	DEFA5
Defa21	DEFA4
Defa21	DEFA6
Defa21	DEFA1
Defa21	DEFA3
Defa21	DEFA1B
Defa22	DEFA5
Defa22	DEFA4
Defa22	DEFA6
Defa22	DEFA1
Defa22	DEFA3
Defa22	DEFA1B
Defa23	DEFA5
Defa23	DEFA4
Defa23	DEFA6
Defa23	DEFA1
Defa23	DEFA3
Defa23	DEFA1B
Defa24	DEFA5
Defa24	DEFA4
Defa24	DEFA6
Defa24	DEFA1
Defa24	DEFA3
Defa24	DEFA1B
Defa25	DEFA5
Defa25	DEFA4
Defa25	DEFA6
Defa25	DEFA1
Defa25	DEFA3
Defa25	DEFA1B
Defa26	DEFA5
Defa26	DEFA4
Defa26	DEFA6
Defa26	DEFA1
Defa26	DEFA3
Defa26	DEFA1B
Defa27	DEFA5
Defa27	DEFA4
Defa27	DEFA6
Defa27	DEFA1
Defa27	DEFA3
Defa27	DEFA1B
Defa28	DEFA5
Defa28	DEFA4
Defa28	DEFA6
Defa28	DEFA1
Defa28	DEFA3
Defa28	DEFA1B
Defa29	DEFA5
Defa29	DEFA4
Defa29	DEFA6
Defa29	DEFA1
Defa29	DEFA3
Defa29	DEFA1B
Defa3	DEFA5
Defa3	DEFA4
Defa3	DEFA6
Defa3	DEFA1
Defa3	DEFA3
Defa3	DEFA1B
Defa30	DEFA5
Defa30	DEFA4
Defa30	DEFA6
Defa30	DEFA1
Defa30	DEFA3
Defa30	DEFA1B
Defa31	DEFA5
Defa31	DEFA4
Defa31	DEFA6
Defa31	DEFA1
Defa31	DEFA3
Defa31	DEFA1B
Defa32	DEFA5
Defa32	DEFA4
Defa32	DEFA6
Defa32	DEFA1
Defa32	DEFA3
Defa32	DEFA1B
Defa33	DEFA5
Defa33	DEFA4
Defa33	DEFA6
Defa33	DEFA1
Defa33	DEFA3
Defa33	DEFA1B
Defa34	DEFA5
Defa34	DEFA4
Defa34	DEFA6
Defa34	DEFA1
Defa34	DEFA3
Defa34	DEFA1B
Defa35	DEFA5
Defa35	DEFA4
Defa35	DEFA6
Defa35	DEFA1
Defa35	DEFA3
Defa35	DEFA1B
Defa36	DEFA5
Defa36	DEFA4
Defa36	DEFA6
Defa36	DEFA1
Defa36	DEFA3
Defa36	DEFA1B
Defa37	DEFA5
Defa37	DEFA4
Defa37	DEFA6
Defa37	DEFA1
Defa37	DEFA3
Defa37	DEFA1B
Defa38	DEFA5
Defa38	DEFA4
Defa38	DEFA6
Defa38	DEFA1
Defa38	DEFA3
Defa38	DEFA1B
Defa39	DEFA5
Defa39	DEFA4
Defa39	DEFA6
Defa39	DEFA1
Defa39	DEFA3
Defa39	DEFA1B
Defa40	DEFA5
Defa40	DEFA4
Defa40	DEFA6
Defa40	DEFA1
Defa40	DEFA3
Defa40	DEFA1B
Defa41	DEFA5
Defa41	DEFA4
Defa41	DEFA6
Defa41	DEFA1
Defa41	DEFA3
Defa41	DEFA1B
Defa42	DEFA5
Defa42	DEFA4
Defa42	DEFA6
Defa42	DEFA1
Defa42	DEFA3
Defa42	DEFA1B
Defa43	DEFA5
Defa43	DEFA4
Defa43	DEFA6
Defa43	DEFA1
Defa43	DEFA3
Defa43	DEFA1B
Defa5	DEFA5
Defa5	DEFA4
Defa5	DEFA6
Defa5	DEFA1
Defa5	DEFA3
Defa5	DEFA1B
Defb12	DEFB105A
Defb12	DEFB105B
Defb13	DEFB107A
Defb13	DEFB107B
Defb14	DEFB103A
Defb14	DEFB103B
Defb15	DEFB127
Defb15	DEFB104A
Defb15	DEFB104B
Defb15	DEFB108B
Defb15	DEFB132
Defb15	DEFB121
Defb15	DEFB134
Defb18	DEFB113
Defb20	DEFB128
Defb21	DEFB118
Defb22	DEFB127
Defb22	DEFB104A
Defb22	DEFB104B
Defb22	DEFB108B
Defb22	DEFB132
Defb22	DEFB121
Defb22	DEFB134
Defb23	DEFB129
Defb25	DEFB124
Defb26	DEFB125
Defb28	DEFB115
Defb29	DEFB116
Defb30	DEFB135
Defb34	DEFB127
Defb34	DEFB104A
Defb34	DEFB104B
Defb34	DEFB108B
Defb34	DEFB132
Defb34	DEFB121
Defb34	DEFB134
Defb35	DEFB105A
Defb35	DEFB105B
Defb36	DEFB123
Defb41	DEFB110
Defb42	DEFB136
Defb43	DEFB131A
Defb43	DEFB131B
Defb47	DEFB130A
Defb47	DEFB130B
Degs1	DEGS1
Degs2	DEGS2
Dek	DEK
Dele1	DELE1
Dennd1a	DENND1A
Dennd1b	DENND1B
Dennd1c	DENND1C
Dennd2a	DENND2A
Dennd2c	DENND2C
Dennd2d	DENND2D
Dennd3	DENND3
Dennd4a	DENND4A
Dennd4b	DENND4B
Dennd4c	DENND4C
Dennd5a	DENND5A
Dennd5b	DENND5B
Dennd6a	DENND6A
Dennd6b	DENND6B
Denr	DENR
Depdc1a	DEPDC1
Depdc1b	DEPDC1B
Depdc5	DEPDC5
Depdc7	DEPDC7
Depp1	DEPP1
Deptor	DEPTOR
Dera	DERA
Derl1	DERL1
Derl2	DERL2
Derl3	DERL3
Des	DES
Desi1	DESI1
Desi2	DESI2
Det1	DET1
Deup1	DEUP1
Dexi	DEXI
Dffa	DFFA
Dffb	DFFB
Dgat1	DGAT1
Dgat2	DGAT2
Dgat2l6	DGAT2L6
Dgcr2	DGCR2
Dgcr6	DGCR6L
Dgcr6	DGCR6
Dgcr8	DGCR8
Dgka	DGKA
Dgkb	DGKB
Dgkd	DGKD
Dgke	DGKE
Dgkg	DGKG
Dgkh	DGKH
Dgki	DGKI
Dgkk	DGKK
Dgkq	DGKQ
Dgkz	DGKZ
Dglucy	DGLUCY
Dguok	DGUOK
Dhcr24	DHCR24
Dhcr7	DHCR7
Dhdds	DHDDS
Dhdh	DHDH
Dhfr	DHFR2
Dhfr	DHFR
Dhh	DHH
Dhodh	DHODH
Dhps	DHPS
Dhrs1	DHRS1
Dhrs11	DHRS11
Dhrs13	DHRS13
Dhrs2	DHRS2
Dhrs3	DHRS3
Dhrs4	DHRS4
Dhrs4	DHRS4L2
Dhrs7	DHRS7
Dhrs7b	DHRS7B
Dhrs7c	DHRS7C
Dhrs9	DHRS9
Dhtkd1	DHTKD1
Dhx15	DHX15
Dhx16	DHX16
Dhx29	DHX29
Dhx30	DHX30
Dhx32	DHX32
Dhx33	DHX33
Dhx34	DHX34
Dhx35	DHX35
Dhx36	DHX36
Dhx37	DHX37
Dhx38	DHX38
Dhx40	DHX40
Dhx57	DHX57
Dhx58	DHX58
Dhx9	DHX9
Diablo	DIABLO
Diaph1	DIAPH1
Diaph2	DIAPH2
Diaph3	DIAPH3
Dicer1	DICER1
Dido1	DIDO1
Dimt1	DIMT1
Dio1	DIO1
Dio2	DIO2
Dio3	DIO3
Dip2a	DIP2A
Dip2b	DIP2B
Dip2c	DIP2C
Dipk1a	DIPK1A
Dipk1b	DIPK1B
Dipk1c	DIPK1C
Dipk2a	DIPK2A
Dipk2b	DIPK2B
Diras1	DIRAS1
Diras2	DIRAS2
Dis3	DIS3
Dis3l	DIS3L
Dis3l2	DIS3L2
Disc1	DISC1
Disp1	DISP1
Disp2	DISP2
Disp3	DISP3
Dixdc1	DIXDC1
Dkc1	DKC1
Dkk1	DKK1
Dkk2	DKK2
Dkk3	DKK3
Dkk4	DKK4
Dkkl1	DKKL1
Dlat	DLAT
Dlc1	DLC1
Dld	DLD
Dlec1	DLEC1
Dleu7	DLEU7
Dlg1	DLG1
Dlg2	DLG2
Dlg3	DLG3
Dlg4	DLG4
Dlg5	DLG5
Dlgap1	DLGAP1
Dlgap2	DLGAP2
Dlgap3	DLGAP3
Dlgap4	DLGAP4
Dlgap5	DLGAP5
Dlk1	DLK1
Dlk2	DLK2
Dll1	DLL1
Dll3	DLL3
Dll4	DLL4
Dlst	DLST
Dlx1	DLX1
Dlx2	DLX2
Dlx3	DLX3
Dlx4	DLX4
Dlx5	DLX5
Dlx6	DLX6
Dmac1	DMAC1
Dmac2	DMAC2
Dmac2l	DMAC2L
Dmap1	DMAP1
Dmbt1	DMBT1
Dmbx1	DMBX1
Dmc1	DMC1
Dmd	DMD
Dmgdh	DMGDH
Dmkn	DMKN
Dmp1	DMP1
Dmpk	DMPK
Dmrt1	DMRT1
Dmrt2	DMRT2
Dmrt3	DMRT3
Dmrta1	DMRTA1
